Store Name,Longitude,Latitude
Starbuck Box Park,55.27,25.23
JBR 1 Rimal Plaza,55.13,25.07
Dubai Festival City,55.31,25.27
Al Ghadeer Tower,55.28,25.22
Jebel Ali,55.09,24.99
MoE Level 2 Extension,55.2,25.12
Borders  Mall of the Emirates,55.2,25.12
Movenpick,55.31,25.23
Dubai Marina Mall,55.14,25.08
Mudon,55.31,25.27
JBR 2 Rimal Marina,55.14,25.08
Jumeirah Beach Residence 4 GM09,55.14,25.08
Starbucks - Boulevard Plaza,55.16,25.11
DBX - Dubai Airport Terminal 3 C201,55.35,25.25
DBX - Dubai Airport Terminal 3 C207,55.35,25.25
Gardens 1,55.12,25.04
Outlet Village,55,24.54
ENOC 1009 DT,55.27,25.2
Burjuman Centre II,55.3,25.25
Al Barsha Coop,55.21,25.1
Spinney's Silicon Oasis,55.4,25.13
Carrefour Green Community,55.38,25.11
World Trade Centre,55.33,25.29
Emaar Town Center,55.17,25.05
Knowledge Village,55.16,25.1
Bay Avenue - Business Bay,55.16,25.11
Fujairah City Centre,56.3,25.13
LuLu Fujairah,56.33,25.12
Al Hamra Mall,55.78,25.68
Al Manar Mall -,55.97,25.79
Safeer Mall,55.92,25.75
Sharjah Corniche,55.39,25.35
Mega Mall,55.4,25.35
Bukhatir Tower,55.38,25.33
Qanat Al Qasba,55.38,25.32
Sahara Center,55.37,25.3
American University of Sharjah,55.48,25.3
UAQ Drive Thru,55.54,25.53
Alto Avelleneda,-58.37,-34.68
Soleil,-57.87,-34.88
Arevalo,-58.44,-34.58
Terrazas de Mayo,-58.7,-34.53
San Isidro,-58.51,-34.47
Alvear,-58.5,-34.49
Plaza Barrientos,-58.4,-34.59
Bellini,-58.38,-34.6
Ezeiza,-58.53,-34.8
Martinez,-58.49,-34.48
Unicenter Shopping,-58.52,-34.51
Plaza Oeste,-58.65,-34.63
Champagnat,-58.92,-34.45
Las Palmas,-60.22,-33.39
Austral,-58.86,-34.46
Quilmes,-58.26,-34.72
Segundo Fernandez,-58.55,-34.49
San Justo,-58.56,-34.69
Nordelta,-58.66,-34.4
Buenos Aires Mall,-58.73,-34.45
Maipu,-58.47,-34.53
Jean Jaures,-58.41,-34.6
Maure,-58.44,-34.57
Ayacucho,-58.4,-34.6
Honduras,-58.44,-34.58
Juana Azurduy,-58.47,-34.55
Cabildo,-58.46,-34.56
Rodriguez Pena,-58.39,-34.6
Gran Rex,-58.38,-34.6
Paseo de la Infanta,-58.42,-34.57
Galeria guemes,-58.37,-34.61
Roosvelt,-58.46,-34.56
Malabia,-58.43,-34.59
Plaza Serrano,-58.42,-34.57
Edificio Pirelli,-58.38,-34.59
Arcos,-58.43,-34.58
Congreso,-58.38,-34.61
Federico Lacroze,-58.44,-34.57
Callao y Santa Fe,-58.39,-34.6
Galerias -Cordoba,-58.38,-34.6
Los Molinos,-58.36,-34.61
DOT Planta Baja,-58.49,-34.55
Elcano,-58.46,-34.57
Conquistador,-58.37,-34.6
Florida Plaza,-58.38,-34.6
Alto Palermo,-58.41,-34.59
Viamonte,-58.39,-34.6
Paseo Alcorta,-58.4,-34.58
Yatch V,-58.36,-34.6
Pampa,-58.45,-34.56
Avenida de Mayo,-58.38,-34.61
Edificio Republica,-58.37,-34.6
Edificio Intercontinental,-58.38,-34.61
UCA,-58.37,-34.61
Recoleta Mall,-58.39,-34.59
UADE II,-58.38,-34.62
Parque Rivadavia,-58.43,-34.62
Avenida La Plata,-58.43,-34.62
Tribunales,-58.39,-34.6
Portal Palermo,-58.43,-34.58
Devoto Shopping,-58.52,-34.61
Castex,-58.41,-34.58
Huidobro,-58.47,-34.54
Abasto Shopping Center,-58.41,-34.6
Callao - Buenos Aires,-58.39,-34.6
BIND,-58.37,-34.6
Edificio Bank Boston,-58.37,-34.6
UADE,-58.38,-34.62
Ramos Mejia,-58.57,-34.64
San Telmo,-58.37,-34.62
Mansilla,-58.41,-34.59
Florida 1,-58.37,-34.61
Austria,-58.4,-34.58
BA design,-58.39,-34.59
Reconquista,-58.37,-34.6
Cabello,-58.41,-34.58
Alliance,-58.38,-34.6
Olleros,-58.44,-34.57
Clinicas,-58.4,-34.6
Peru.,-58.37,-34.61
Defensores,-58.46,-34.54
Julian Alvarez,-58.41,-34.59
Abasto 2,-58.41,-34.6
Triunvirato,-58.48,-34.58
Pueyrredon,-58.4,-34.59
Lomitas,-58.4,-34.77
Panamericano,-58.49,-34.55
Caesar Park,-58.38,-34.6
Villa Crespo,-58.44,-34.6
Talcahuano,-58.39,-34.6
Migueletes,-58.44,-34.57
Village Caballito,-58.44,-34.62
Olazabal,-58.45,-34.55
Galerias II,-58.37,-34.6
La Barraca,-68.84,-32.89
Plaza Espana Mendoza,-68.84,-32.88
Mendoza Plaza Shopping,-68.78,-32.9
Espejo,-68.84,-32.89
Palmares Open Mall,-68.83,-32.92
Boulevard Orono.,-60.65,-32.94
Alto Rosario,-60.67,-32.93
Paseo del Siglo,-60.7,-32.96
Buen Pastor,-64.31,-31.32
Estrada,-64.2,-31.44
Canada,-64.19,-31.41
Dinosaurio Mall,-64.24,-31.36
Nuevocentro,-64.2,-31.41
Cordoba Shopping,-64.2,-31.44
SCS,16.32,48.11
Europark,13.01,47.82
Hagenauerplatz,13.04,47.8
Forum 1,13.05,47.81
Vienna Airport - landside (Kiosk),16.56,48.13
Neubaugasse,16.35,48.2
Millennium City,16.39,48.24
Hauptbahnhof Wien,16.38,48.18
Braunerstrasse,16.37,48.21
Michaelerplatz,16.37,48.21
AKH Allgemeines Krankenhaus,16.35,48.22
Mariahilfer Strasse,16.36,48.2
Rotenturmstrasse,16.38,48.21
Invalidenstrasse,16.39,48.21
Donauzentrum,16.43,48.24
Westbahnhof,16.34,48.2
Schottengasse,16.36,48.21
Karlsplatzpassage,16.37,48.2
Manly,151.29,-33.8
Mount Druitt,150.82,-33.77
Westfield Parramatta,151,-33.82
Haymarket,151.21,-33.88
Queen Victoria Building,151.21,-33.87
Wynyard Green,151.21,-33.87
Hyde park,151.21,-33.87
525 George Street,151.21,-33.88
Westmead Childrens Hospital,150.99,-33.8
Queens Plaza,153.03,-27.47
Myer Centre,153.02,-27.47
Broadbeach,153.43,-28.03
Westfield Chermside,153.03,-27.39
Cavill Avenue,153.43,-28.01
Chevron Renaissance,153.43,-28.02
Garden City - Upper Mt Gravatt,153.09,-27.54
Princess Alexandra Hospital,153.03,-27.5
235 Bourke Street,144.97,-37.81
2 Elizabeth Street,144.97,-37.82
DFO Spencer Street,144.95,-37.82
Swanston Street,144.97,-37.81
Galleria - Melbourne,144.96,-37.81
Paseo Herencia,-70.04,12.57
Renaissance Seaport Marketplace,-70.04,12.52
Renaissance Mall - Aruba,-70.04,12.52
Mall 28,49.85,40.38
Port Baku,49.86,40.38
Ganjlik Mall,49.85,40.4
TARGOVI,48.9,39.95
Brussels Schuman Metro Station,4.38,50.84
Brussels Louise Metro Station,4.35,50.83
Brussels - Gare du Midi (M),4.33,50.83
Brussels Metro Station,4.41,50.84
Antwerp Groenplaats,4.4,51.22
Brussel Grand Place,4.36,50.84
Rogier Subway Station,4.36,50.85
Antwerp Centraal Railway Station,4.42,51.22
Bruges Railway Station,3.19,51.27
Brussels (CS),4.36,50.85
Gent Sint Pieters Station,3.72,51.04
Gent Korenmarkt,3.72,51.05
Leuven Railway Station,4.71,50.88
Brussels North Station,4.36,50.86
Brussels Airport Depart. Hall,4.49,50.9
Brussels Airport Concourse A,4.48,50.87
Brussels Airport Concourse B,4.48,50.9
Liege Guillemins Station,5.57,50.63
Gare de Namur,4.86,50.47
Burgas Plaza Mall,25.62,42.42
Hermes Park,23.43,42.64
Paradise Mall,23.32,42.66
Sofia Gurko,23.32,42.7
Nansen and Levski,23.32,42.69
The Courtyard,50.52,26.21
Saar Mall,50.59,26.23
"Enma Mall, Riffa",50.6,26.2
Cypress Garden,50.58,26.22
Nakheel Centre,50.57,26.21
El Mercado,50.55,26.22
Oasis Centre East Riffa,50.59,26.23
Marriott Juffair,50.6,26.22
ستراند بلازا,50.61,26.21
مجمع البحرين,50.54,26.23
باديز,50.58,26.21
حديقة مركز الدبلوماسي,50.59,26.24
"البحرين, سيتي سنتر",50.55,26.23
مجمع السيف,50.54,26.23
مركز المنامة,50.58,26.24
"بحرين, سيتي سنتر, دبنهامز",50.55,26.23
The Walk,50.58,26.22
سند (يم يم),50.58,26.14
Muharraq Mall,50.57,26.23
Lagoons Amwaj Island,50.61,26.25
مطار البحرين بوابة 16,50.63,26.27
KUALA BELAIT,114.4,4.3
Mabohai Shopping Mall,114.94,4.91
Mabohai Shopping Mall,114.94,4.91
Beribi Drive-Thru,115,5
Jalan Tutong,114.73,4.77
La Salle - Santa Cruz,-63.19,-17.75
Velarde,-63.18,-17.8
Las Brisas,-63.18,-17.75
Ventura Mall,-63.2,-17.75
Rua Moreira César,-43.11,-22.9
Plaza Niteroi Relo,-43.12,-22.9
Plaza Niteroi 2,-43.12,-22.9
Shopping da Gavea,-43.23,-22.98
Aeroporto Galeao Mezanino,-43.25,-22.81
Assembleia x Carmo,-43.18,-22.9
Visconde de Piraja,-43.2,-22.98
Ataulfo de Paiva 313,-43.22,-22.98
Shopping Rio Sul,-43.18,-22.96
Botafogo Praia Shopping,-43.18,-22.95
Shopping Tijuca,-43.24,-22.92
New York City Center,-43.36,-23
Norte Shopping,-43.28,-22.89
Shopping Nova America 2,-43.27,-22.88
Goncalves Dias,-43.18,-22.9
Cinema Odeon,-43.18,-22.91
Miguel Couto,-43.18,-22.9
Edificio Argentina,-43.18,-22.94
Shopping Via Parque,-43.36,-22.98
Downtown Shopping,-43.32,-23
Nossa Senhora de Copacabana,-43.19,-22.98
Shopping Leblon Kiosk,-43.22,-22.98
Barra Shopping 3,-43.36,-23
Shopping Plaza Sul,-46.63,-23.62
Shopping Tambore,-46.83,-23.5
Bauru Shopping,-49.05,-22.34
Parque D. Pedro Shopping,-47.06,-22.85
Campinas Shopping,-47.08,-22.93
Aer. Intl. Viracopos Desembarque,-47.14,-23.01
Aer. Intl. Viracopos Embarque,-47.15,-23.01
Cambui,-47.05,-22.9
Shopping Iguatemi Campinas,-47.03,-22.89
Galleria Shopping,-47.02,-22.86
Aero Intl GRU TermII Mezzanine,-46.49,-23.43
Aero Guarulhos Term II Sup Finger,-46.49,-23.43
Aeroporto Intl Guarulhos III,-46.48,-23.43
Shopping Intl de Guarulhos Kiosk,-46.55,-23.49
Parque Shopping Maia B,-46.54,-23.44
Aero Intl GRU TermII Praca,-46.48,-23.43
Shopping Piracicaba,-47.65,-22.7
Iguatemi Ribeirao Preto,-47.87,-21.18
Ribeirao Shopping Store 2,-47.82,-21.21
Ribeirao Shop Quiosque Expansao C&C,-47.81,-21.21
Shopping ABC,-46.53,-23.67
Praiamar Shopping,-46.31,-23.98
Sao Bernado Plaza Shopping,-46.54,-23.73
Shopping Metropole  Saraiva,-46.55,-23.69
Park Shopping São Caetano,-46.58,-23.63
Colinas Shopping,-45.89,-23.19
Center Vale Shopping,-45.88,-23.2
Rio Preto Shopping,-49.4,-20.84
Iguatemi Rio Preto,-49.39,-20.84
Vale Sul 2,-45.89,-23.22
Hospital Beneficencia Portuguesa,-46.64,-23.57
Aeroporto de Congonhas Cafe,-46.66,-23.63
Shopping Center 3,-46.66,-23.56
CCP Shopping Cidade Sao Paulo,-46.65,-23.56
"Pavao, 667",-46.67,-23.61
Metro Santa Cruz Store 2,-46.64,-23.6
Haddock Lobo,-46.66,-23.56
Shopping Metrô Boulevard Tatuapé,-46.58,-23.54
Shopping Metro Tucuruvi,-46.6,-23.48
Paulista 2026,-46.66,-23.56
Berrini,-46.69,-23.6
Shopping Center Norte,-46.62,-23.52
Paulista 500,-46.65,-23.57
Bourbon Shopping,-46.68,-23.53
Shopping Villa Lobos,-46.72,-23.55
E-business,-46.71,-23.51
Metro Tatuape,-46.58,-23.54
Shopping Paulista Saraiva,-46.64,-23.57
Shopping Frei Caneca Kiosk,-46.65,-23.55
Jundiai Shopping,-46.89,-23.2
Desembargador Eliseu Guilherme,-46.64,-23.57
Shopping Metro Itaquera,-46.47,-23.54
Anhembi Morumbi Centro,-46.61,-23.55
"Rua Augusta, 1987",-46.66,-23.56
Shopping Higienópolis,-46.66,-23.54
Brascan Open Mall,-46.68,-23.58
CENU,-46.7,-23.61
Tiete Plaza,-46.72,-23.51
Shopping Analia Franco,-46.56,-23.56
Rua Lavandisca,-46.66,-23.6
Manoel da Nobrega,-46.65,-23.57
Alameda Santos,-46.65,-23.57
Market Place,-46.7,-23.62
Top Center Shopping,-46.65,-23.57
Praca da Republica,-46.64,-23.55
Shopping Ibirapuera,-46.67,-23.61
SP Market,-46.7,-23.68
Morumbi Shopping New Wing,-46.7,-23.62
Universidade Mackenzie,-46.65,-23.55
RochaVera,-46.7,-23.62
JK Mall,-46.69,-23.59
Rua Joao Saad,-46.72,-23.59
Trianon Paulista,-46.66,-23.56
Gomes de Carvalho,-46.69,-23.59
Mooca Plaza Shopping,-46.59,-23.58
Universidade Anhembi - Vila Olimpia,-46.68,-23.6
Morumbi Shopping Saraiva,-46.7,-23.62
Bandeira Paulista,-46.68,-23.58
Iguatemi Sorocaba,-47.46,-23.53
Nassau Airport,-77.45,25.03
Sheraton Cable Beach Resort,-77.47,25.07
Reef Atlantis,-77.33,25.09
Palmdale RCA Building,-77.33,25.07
Charlotte Street,-77.34,25.08
Cable Cottage,-77.39,25.07
Atlantis #2,-77.46,25.06
Atlantis - Mayan Temple Pool Deck,-77.32,25.09
Marina Village at Atlantis,-77.32,25.08
Harbour Bay,-77.32,25.07
Kingsview Market,-113.99,51.27
Sierra Springs,-114,51.27
Tower Lane Mall,-114.01,51.29
Safeway-Airdrie #281,-114.01,51.3
Dickson Crossing,-114.01,51.3
Save On Foods East Airdrie,-113.99,51.27
Banff Avenue Mall,-115.57,51.18
Safeway - Banff #208,-115.57,51.18
Brewsters @ Banff Gondola,-115.56,51.15
Gallerie Beaumnont,-113.42,53.36
Safeway - Brooks #852,-111.9,50.57
The Bow,-114.06,51.05
Genco Place,-114.07,51.04
Teavana - Calgary Eaton Centre,-114.07,51.05
Sunterra Mkt - TransCanada Tower,-114.07,51.05
Western Canada Place,-114.08,51.05
Inglewood - 11th ST SE and 9th Ave,-114.04,51.04
Safeway - Calgary #221,-114.12,51.09
HMS HOST @ YYC Departures Internati,-114.01,51.13
Safeway-Calgary #292,-114.07,50.97
Huntington Hills,-114.07,51.12
Safeway - Calgary 2243,-114.07,51.1
Douglas Square,-114,50.95
Brentwood Village NW,-114.13,51.09
Teavana - Chinook Centre,-114.07,51
Tuscany Drive Market,-114.25,51.12
Safeway-Calgary #293,-114.07,50.91
Jamieson Place SW,-114.07,51.05
Beacon Hill - Sarcee & 112th Ave,-114.16,51.16
Teavana - Sunridge Mall,-113.98,51.07
Deer Valley Marketplace,-114.03,50.93
YYC-Calgary International Arrivals,-114.01,51.13
Shepard Centre Indigo,-113.96,50.93
Safeway - Calgary #212,-114.08,51.04
Delta Bow Valley,-114.06,51.05
Nexen Building,-114.08,51.05
Suncor Plus +15,-114.06,51.05
Silverado Marketplace,-114.07,50.88
85th St & 9th Ave SW,-114.21,51.06
The Core,-114.07,51.05
Safeway-Calgary #2000,-113.95,51.12
Gates of Walden,-114.04,50.88
Sunterra Westmarket,-114.17,51.04
Sunterra @ Westjet Offices,-114.01,51.12
Crowfoot Chapters,-114.2,51.13
Safeway - Calgary #202,-113.98,51.05
Willow Park Village,-114.07,50.96
Bankers Hall Plus +15,-114.07,51.05
Westhills,-114.17,51.01
Centre St & 9 Ave N,-114.06,51.06
Coventry Hills,-114.06,51.16
Britannia,-114.08,51.01
Glenmore Landing,-114.1,50.97
Safeway - Calgary #263,-114.06,51.07
The Bridges,-114.04,51.05
Safeway - Calgary #2211,-114.1,51.06
"YYC Calg N Processor, Retail Hall",-114.01,51.13
Northland Plaza,-114.14,51.1
Kensington,-114.09,51.05
Safeway-Calgary #2704,-113.96,50.93
Safeway - Calgary #287,-114.06,50.95
Calgary House,-114.07,51.05
Safeway - Calgary #276,-114.01,50.98
Bankview,-114.1,51.03
East Hills,-113.91,51.04
Gateway South Chapters,-114.07,50.91
4 St & 23 Ave SW,-114.07,51.03
YYC Calgary Central Hall FB,-114.01,51.13
HMS HOST @ YYC Departures Transbord,-114.01,51.13
Sundance,-114.06,50.9
Newport Village,-114.07,50.97
Sarcee Plaza 37St & 45Ave SW,-114.14,51.01
Kingsland Plaza,-114.08,50.99
London Towne Square,-113.98,51.08
Chinook Chapters,-114.07,51
Southcentre,-114.06,50.95
Deerfoot Meadows,-114.04,50.98
Marda Loop,-114.11,51.02
Scotia Centre,-114.07,51.05
YYC Calgary Term A,-114.01,51.13
52St & McIvor Blvd SE,-113.95,50.91
Safeway - Calgary #2730,-114.14,51.02
Safeway-Calgary #291,-114.16,51.11
Aspen Landing,-114.21,51.04
Millrise Centre,-114.07,50.91
16th Ave & 11 Street NW,-114.09,51.07
Safeway-Calgary #288,-114.1,50.97
Southtrail,-113.97,50.93
Signal Hill Indigo,-114.17,51.02
Elbow & Southland,-114.08,50.96
Safeway Calgary - #227,-114.16,51.08
Safeway - Calgary #296,-114.17,51.01
Keynote Center,-114.06,51.04
YYC Gate a16,-114.01,51.13
Westbrook Mall,-114.14,51.04
Market Mall East,-114.15,51.08
Creekside,-114.13,51.16
The Westin Calgary,-114.07,51.05
Devon Tower,-114.07,51.05
8th Avenue Place,-114.07,51.05
Panorama Hills,-114.07,51.15
Safeway - Calgary #294,-114.07,51.13
Hotel Arts,-114.07,51.04
McKnight Blvd & Avation Rd,-114.03,51.1
Royal Oak,-114.21,51.15
Safeway-Calgary #280,-114.12,50.94
Country Hills,-114.16,51.14
Market Mall SC West,-114.16,51.09
Teavana - Market Mall,-114.16,51.08
Safeway - Calgary #285,-114.2,51.13
Quarry Park,-114.01,50.96
Safeway-Calgary #874,-114.21,51.04
17 Avenue SW,-114.08,51.04
U of Calgary - Seasons Bookstore,-114.13,51.07
HMS HOST @ YYC Arrivals Internation,-114.01,51.13
U of Calgary-Yamnuska Hall,-114.13,51.07
Teavana - Marlborough Mall,-113.98,51.06
Intact Place,-114.07,51.05
Bankers Hall Main floor,-114.07,51.05
Compass @ Southern Alberta Institut,-114.09,51.06
Evergreen,-114.11,50.91
Save On Foods - Seton,-113.95,50.88
Bow Valley Square,-114.07,51.05
Safeway - Calgary #2117,-114.12,51.02
Livingston Place,-114.07,51.05
Atrium 1 - 5th Ave & 8th St,-114.08,51.05
Safeway-Calgary #2222,-114.17,51.07
Calgary Marriott,-114.06,51.04
Memorial & Edmonton Trail,-114.05,51.05
Sunridge Mall - Level 1,-113.98,51.07
"Univeristy of Calgary, Crowsnest",-114.13,51.07
Dalhousie Station Chapters,-114.16,51.1
Bowfort Road,-114.21,51.08
Wellington Square,-114.09,51.04
Sunridge Chapters,-113.99,51.08
Suncor main floor,-114.06,51.05
Chinook North,-114.07,51
The District,-114.03,51.15
12 Ave & 8th Street SW,-114.08,51.04
Fairmont Palliser Calgary,-114.06,51.04
Crowfoot Village,-114.2,51.13
Safeway - Camrose #821,-112.86,53.02
Camrose,-112.86,53.02
Mountain Side Village,-115.36,51.09
Safeway - Canmore #2244,-115.36,51.09
Chestermere Station,-113.83,51.05
Safeway-Chestermere #2731,-113.82,51.05
Cochrane City Centre,-114.47,51.19
Safeway - Cochrane #2219,-114.48,51.19
111 St & Ellerslie Rd,-113.51,53.42
Sherwood Park Chapters,-113.29,53.53
Safeway-Edmonton #861,-113.46,53.52
Calgary Trail South,-113.5,53.49
Safeway - Edmonton #808,-113.47,53.57
Grand Villa Casino,-113.49,53.55
HSBC Bank Place,-113.49,53.54
Edmonton City Centre,-113.49,53.54
Matrix Hotel,-113.5,53.54
Strathcona Chapters,-113.5,53.52
University of Alberta Engineering,-113.53,53.53
Indigo - Northtown Mall,-113.49,53.6
Jasper Ave & 109 St,-113.51,53.54
170th St & 100th Ave,-113.62,53.54
Save on Foods - Lewis Estates,-113.64,53.52
Safeway - Edmonton #841,-113.49,53.6
High Street,-113.54,53.54
104th Ave.&112th St.,-113.51,53.55
Oxford Park,-113.54,53.62
Wolf Willow,-113.61,53.5
Centre For Applied Technology,-113.5,53.57
Kingsway Ave & 117St,-113.52,53.57
Safeway - Edmonton #809,-113.52,53.55
Safeway - Edmonton #845,-113.43,53.54
Tamarack,-113.37,53.48
South Pointe Chapters,-113.49,53.46
Commerce Place,-113.5,53.54
College Plaza,-113.52,53.52
Teavana - West Edmonton,-113.62,53.52
99th Ave & 105 Street,-113.5,53.54
50th Street Market,-113.41,53.63
North Town Mall 97 St & 137 Ave,-113.49,53.6
South Edmonton Common Indigo,-113.48,53.45
Safeway-Edmonton #814,-113.42,53.6
Terwilliger Gardens,-113.57,53.45
NAIT Common Market,-113.51,53.57
Whyte Avenue,-113.5,53.52
Currents of Windermere,-113.61,53.44
Kingsway Mall,-113.51,53.56
West Edmonton Mall Chapters,-113.63,53.52
Londonderry Mall,-113.45,53.6
University of Alberta - Cameron Lib,-113.53,53.52
Upper Windermere,-113.62,53.44
Safeway - Edmonton #2278,-113.51,53.45
Safeway - Edmonton #881,-113.58,53.54
Hampton Market,-113.67,53.49
The Grange,-113.68,53.51
Safeway-Edmonton #877,-113.52,53.49
Empire Building,-113.49,53.54
Aramark @ University of Alberta,-113.52,53.52
Terrace Rd and 101 Ave,-113.42,53.54
Millwoods Town Centre,-113.43,53.45
Jasper Gates,-113.58,53.54
Newcastle,-113.54,53.63
Brewery District on 104,-113.53,53.55
23 Ave & 111 St,-113.52,53.46
Scona Market,-113.5,53.51
Skyview Power Centre,-113.56,53.6
Jasper Ave & 119 St,-113.53,53.54
YEG Edmonton Transborder,-113.49,53.55
Courtyard-Edmonton Int'l Airport,-113.41,53.47
Aramark @ Grant MacEwan Clock Tower,-113.5,53.55
YEG G - 56,-113.49,53.55
Safeway - Edmonton #800,-113.59,53.52
Manning Fwy & Manning,-113.41,53.61
Depot 170 Chapters,-113.62,53.54
Aramark@ UoA-CCIS Faculty of Scienc,-113.53,53.53
Safeway - Edmonton #802,-113.59,53.47
Safeway - Edmonton #838,-113.55,53.56
Sobeys Walker Edmonton,-113.42,53.42
Safeway - Edmonton #816,-113.62,53.53
South Edmonton Commons,-113.49,53.45
West Edmonton Mall Ice Palace,-113.62,53.52
South Park,-113.49,53.47
McLeod Park,-113.43,53.62
170th St & 90th Ave NW,-113.62,53.53
Safeway-Edmonton #887,-113.6,53.43
Southgate Mall,-113.51,53.49
Ellerslie & Parsons,-113.48,53.43
YEG C7,-113.49,53.55
Save-on-Foods - Fort McMurray,-111.43,56.73
Stoneycreek Village,-111.44,56.76
Fort McMurray Airport,-111.15,56.66
Frankin Ave & Queen St.,-111.36,56.72
Safeway-Fort McMurray #888,-111.37,56.72
Safeway Fort Saskatchewan #846,-113.21,53.69
Fort Saskatchewan,-113.22,53.69
Safeway-Grand Prairie #810,-118.79,55.18
Safeway - Grand Prairie #826,-118.79,55.16
Mission Heights,-118.8,55.14
Cobblestone,-118.77,55.17
Rio Can Centre,-118.82,55.17
Safeway - Hinton #825,-117.59,53.41
Safeway-Leduc #801,-113.55,53.27
Leduc Crossroads,-113.55,53.27
Safeway-Lethbridge #2276,-112.89,49.69
Mayor Magrath Drive,-112.8,49.68
Safeway-Lethbridge #299,-112.79,49.67
West Lethbridge Towne Centre,-112.89,49.69
Lethbridge Chapters,-112.84,49.7
University Of Lethbridge,-112.87,49.68
Highway 16 & 75 Street,-110.06,53.28
Safeway - Lloydminster #884,-110.01,53.28
Strachan Road,-110.65,50
Safeway - Medicine Hat #2220,-110.69,50.03
Trans Can Hwy & 13th Ave SE,-110.66,50.01
Save On Foods North Lethbridge,-112.83,49.7
Cornerstone Southridge,-113.97,50.71
Safeway-Okotoks #2223,-113.98,50.72
Bower Place,-113.81,52.24
Safeway - Red Deer #813,-113.81,52.26
